,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.blue,p.MM.blue,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.brown,p.MM.brown,MM.yellow,p.MM.yellow,MM.grey,p.MM.grey
5136,ENSGALG00010019398,SLC35F5,black,0.173436402,0.428703492,0.085837429,0.696961783,-0.164296079,0.453791589,-0.323290746,0.132393371,-0.010320555,0.962723248,0.071213947,0.746775219,0.7734036,1.51E-05,-0.161439532,0.461786306,-0.703158564,0.000182238,0.114876216,0.601714151
528,ENSGALG00010002570,ADAM12,black,-0.129527801,0.555833042,0.383935225,0.07050572,0.159152758,0.468238481,-0.139022304,0.526975057,0.160498493,0.46443588,0.199104338,0.362407486,0.774121096,1.46E-05,0.344827962,0.107095956,-0.502696392,0.014495145,0.347185995,0.10455891
3317,ENSGALG00010013268,PTPRR,black,-0.11828513,0.590898917,0.209440917,0.337496268,-0.092060946,0.676110497,-0.764552857,2.16E-05,-0.196202821,0.369586922,0.157038342,0.474245228,0.774675532,1.43E-05,-0.060172915,0.785058417,-0.668169469,0.000493022,-0.111578381,0.61225489
4808,ENSGALG00010018355,PRKCB,black,0.108058678,0.623587345,0.057743306,0.793551189,-0.286812022,0.184549899,-0.426887851,0.042202623,-0.242097654,0.265721415,0.003512646,0.98730891,0.774793791,1.42E-05,0.06360866,0.773089234,-0.748200109,4.04E-05,-0.093509118,0.671290709
1132,ENSGALG00010005277,IPCEF1,black,-0.243030259,0.263827355,0.42571888,0.042830944,0.355831559,0.095634408,-0.365071851,0.086734089,0.071726809,0.745010183,0.547097202,0.006898466,0.775365498,1.39E-05,0.352297003,0.099212035,-0.284500744,0.188269867,0.403936758,0.0559336
315,ENSGALG00010001716,TRIL,black,-0.259233505,0.232297098,0.569922718,0.004524173,0.502016932,0.014650066,-0.321333446,0.134887939,0.328495453,0.12592131,0.320636413,0.135784376,0.77549045,1.38E-05,0.447157862,0.032411593,-0.284517312,0.188243022,0.503295296,0.014359701
2710,ENSGALG00010011359,RNF19A,black,-0.030168198,0.891312325,0.301456965,0.162148174,0.048324985,0.826679952,-0.179533155,0.412394595,-0.037847881,0.863869398,0.262974412,0.225386193,0.775502553,1.38E-05,0.211630647,0.332353257,-0.505850083,0.013793481,0.344179129,0.107801902
6833,ENSGALG00010024565,FAM217B,black,-0.281933247,0.192461921,0.436868536,0.03712728,0.193729057,0.375772097,-0.35184788,0.099673616,0.093007584,0.672958503,0.401982165,0.057245518,0.775505406,1.38E-05,0.394606875,0.062410211,-0.408293234,0.05309303,0.239319898,0.271414124
8306,ENSGALG00010029546,WSB1,black,-0.260423558,0.230083677,0.558849314,0.005572089,0.42278668,0.044439235,-0.349301431,0.10232074,0.38070629,0.073105768,0.50297168,0.014432758,0.775551947,1.38E-05,0.559074206,0.005548952,-0.248504851,0.25288312,0.299233554,0.165420495
247,ENSGALG00010001488,GRPR,black,-0.068634463,0.755671122,0.380763571,0.073059019,0.37877222,0.074697551,-0.286379644,0.185241943,0.121291819,0.581429208,0.501457851,0.014778552,0.775563406,1.38E-05,0.196990372,0.367630181,-0.403597639,0.056159538,0.496848528,0.015873258
