"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA"
"390","ENSGALG00010013097",394.345308636816,-1.01311960619162,0.0881703713991154,-11.4904767907305,1.47296703995615e-30,1.43991811561428e-28,277,206,295,274,273,199,248,316,252,306,288,319,468,648,596,393,564,533,429,590,627,393,440,562
"391","ENSGALG00010013106",89.9911336296873,-1.00315030923815,0.10862491073567,-9.23499317462485,2.5830248233867e-20,1.66012860610263e-18,84,38,51,80,60,46,49,64,76,68,73,61,139,107,113,105,136,128,89,124,125,111,115,126
"392","ENSGALG00010013116",764.319970414938,-0.732060249799987,0.0462098898509837,-15.8420687034899,1.59486466732489e-56,5.48613336643427e-54,683,529,586,633,620,491,479,486,685,639,641,622,1001,858,1041,884,1041,1039,726,986,1016,829,853,1035
"393","ENSGALG00010013117",198.385097221283,-0.907819000100021,0.0928324043884716,-9.77911760532574,1.38411957158062e-22,9.93917467666507e-21,171,118,151,162,122,89,122,116,179,150,148,147,329,256,296,242,295,282,222,229,259,209,199,285
"394","ENSGALG00010013132",232.393199443235,-1.07318036687368,0.0816081460808705,-13.1504073847015,1.69260044253008e-39,2.28953731952936e-37,149,121,150,157,174,154,143,142,179,158,171,167,325,280,285,244,357,358,244,319,371,296,283,347
"395","ENSGALG00010013183",1842.66221570283,-0.968199002928678,0.0532510402542739,-18.1817857135846,7.1952197741872e-74,5.97871368807998e-71,1459,1048,1324,1214,1269,970,1033,1152,1409,1426,1366,1449,2721,2268,3077,2330,2727,2619,1736,2344,2468,2109,2239,2596
"396","ENSGALG00010013190",29.4179102311912,-0.868686111582177,0.263156185998174,-3.30102865827446,0.000963310423966453,0.0208982369305346,24,23,36,22,12,8,23,16,11,13,21,33,48,40,40,28,39,42,17,56,57,40,20,47
"397","ENSGALG00010013199",817.337241919347,0.239080287392315,0.072550789749224,3.2953505843108,0.000982989617097382,0.0212154326821778,930,720,977,969,732,654,819,740,1079,965,867,979,812,911,829,702,774,948,524,711,869,818,657,818
"398","ENSGALG00010013203",285.386172712831,-0.777742257747769,0.0914484976210993,-8.50470240604943,1.82061998347247e-17,1.03313523257245e-15,243,184,225,265,236,169,128,202,252,306,230,226,365,362,416,319,407,343,251,368,378,257,356,415
"399","ENSGALG00010013214",455.452352268428,-0.639944073774778,0.094173678532334,-6.79536027208554,1.08042188115184e-11,4.63784049573406e-10,381,296,385,378,309,332,253,311,329,307,340,466,640,681,723,536,567,610,347,573,724,464,399,659
