,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.brown,p.MM.brown,MM.grey,p.MM.grey,MM.green,p.MM.green,MM.lightgreen,p.MM.lightgreen,MM.pink,p.MM.pink,MM.black,p.MM.black,MM.lightcyan,p.MM.lightcyan,MM.cyan,p.MM.cyan,MM.grey60,p.MM.grey60,MM.purple,p.MM.purple,MM.salmon,p.MM.salmon,MM.midnightblue,p.MM.midnightblue
6378,ENSGALG00010021737,AGBL2,cyan,0.384748605,0.069861976,-0.309130534,0.151202677,-0.157583631,0.472692402,0.65670992,0.0006646,0.300863662,0.163016909,0.534835235,0.008552107,-0.042491523,0.847347107,-0.189810939,0.385688806,0.676277616,0.000396055,0.257156922,0.236192829,-0.405083523,0.055174761,0.03461662,0.875399421,0.20176802,0.355888363
4799,ENSGALG00010017148,MOK,cyan,0.438118634,0.036527081,-0.301036755,0.162763126,-0.067374746,0.760026538,0.478253853,0.02097952,0.046796639,0.832084496,0.300480935,0.163579034,0.077440112,0.725433284,0.15581984,0.477724541,0.532560121,0.008892334,0.139705197,0.524927137,-0.156835154,0.474824514,-0.102974611,0.640102862,0.161984442,0.460255649
8427,ENSGALG00010028026,,cyan,0.52761043,0.009671276,-0.299444202,0.165108514,0.300257061,0.163908472,0.707232603,0.000160833,0.365613874,0.086231957,0.377783741,0.075521146,0.534881565,0.008545292,0.053460179,0.808577818,0.745462755,4.46E-05,0.507488413,0.013440076,0.171023778,0.435251874,0.214119072,0.32656599,-0.137420296,0.53179408
6239,ENSGALG00010021485,SMOC1,cyan,0.390385504,0.065522707,-0.297698627,0.167706215,-0.017449668,0.937013131,0.606510639,0.002153849,0.206644845,0.344131825,0.166828227,0.446765739,0.155291526,0.479237095,-0.085773496,0.697177118,0.70251237,0.000185851,0.367037452,0.084923507,-0.06484767,0.768784954,0.036008983,0.870427947,0.001739608,0.993714662
3804,ENSGALG00010013749,NELL2,cyan,0.57737471,0.003916348,-0.288923933,0.181195144,0.262157604,0.226883414,0.608407006,0.00206754,0.404613475,0.055484835,0.294291232,0.172858597,0.525397937,0.010037217,-0.007084687,0.974406297,0.664679091,0.000540682,0.536252673,0.008345637,0.361706518,0.089900799,0.05504726,0.803001883,-0.28154722,0.193097653
2839,ENSGALG00010010975,ATP8B1,cyan,0.426928861,0.042180711,-0.27318019,0.207229207,-0.002782811,0.989945637,0.469132529,0.023928837,-0.042694601,0.846625915,0.368789747,0.083333407,0.241333866,0.267279065,0.139039684,0.526922889,0.604385778,0.002254169,0.155105632,0.479769882,-0.288834814,0.181335856,-0.002760029,0.990027946,-0.094779187,0.667073957
876,ENSGALG00010003806,EGF,cyan,0.407686863,0.053481575,-0.270151018,0.212512348,-0.104529528,0.635033714,0.705833852,0.000167922,0.543745078,0.007321591,0.148396571,0.499197172,0.272096961,0.209108211,0.084676072,0.700876928,0.816060277,2.06E-06,0.389429735,0.066243582,0.07966431,0.71785595,0.224651883,0.302747855,-0.102591637,0.64135379
1391,ENSGALG00010005573,CHST9,cyan,0.43195011,0.039564549,-0.266779608,0.218497467,-0.004714435,0.982967417,0.468979329,0.023981073,0.069086321,0.754110587,0.070038779,0.750824236,0.424625489,0.043425246,0.213715234,0.327501038,0.683166538,0.000327077,0.265503949,0.220791049,0.215616767,0.323112275,0.166914475,0.446527443,-0.17107662,0.435107877
7241,ENSGALG00010024210,NXPH3,cyan,0.355121664,0.09634516,-0.26250367,0.22624827,-0.038737272,0.860700416,0.455177752,0.029076282,0.288646615,0.181633253,0.109769391,0.618068808,0.169200362,0.440236266,0.02659902,0.90410968,0.596367903,0.002669152,0.337168852,0.115648157,0.169519439,0.439361871,-0.113715249,0.605416253,0.060129479,0.785210044
7086,ENSGALG00010023784,LRRC46,cyan,0.30579282,0.155897565,-0.259185128,0.23238737,-0.160357972,0.464832199,0.589199479,0.003093143,0.234690781,0.281071607,0.326493461,0.128383191,0.033453505,0.879555864,-0.069280713,0.753439521,0.620627816,0.001578661,0.138943963,0.527210236,-0.381546811,0.072422066,-0.062403901,0.777280739,-0.015862929,0.942731095
