"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"43","ENSGALG00010006465",535.88709234907,-0.403627771476236,0.0537694334887334,-7.50663983768419,6.06643302601421e-14,3.01919744508984e-12,341,470,465,509,448,541,465,452,587,520,507,364,518,526,542,713,653,664,467,681,632,617,662,645
"44","ENSGALG00010006480",189.373928385025,-0.894199933062339,0.127985088609729,-6.98675090024796,2.81325081071399e-12,1.26223317624648e-10,89,98,142,133,167,152,99,109,205,150,134,85,192,200,174,274,329,165,196,280,346,282,332,305
"45","ENSGALG00010006538",92.2527123557337,-0.625140344644382,0.118289272256296,-5.28484394840048,1.25811958394492e-07,4.51588680964473e-06,72,72,72,87,77,71,58,75,80,71,78,51,90,87,94,138,150,76,76,165,152,117,111,129
"46","ENSGALG00010006575",910.523938592063,-0.526017078465212,0.110262102253943,-4.77060628912871,1.83672234538277e-06,6.14575598334998e-05,583,807,1192,747,731,760,738,599,882,1052,758,587,743,902,1082,1120,1202,1290,584,1098,1487,1053,930,1268
"47","ENSGALG00010006580",1434.65687988795,0.21019353619927,0.0570020702468441,3.68747196880814,0.000226493034453807,0.00621020831737347,1326,1511,1652,1943,1603,1791,1418,1381,1727,1455,2050,1054,1053,1081,1222,1536,1532,1446,1096,1421,1513,1331,1302,1423
"48","ENSGALG00010006588",152.015171766289,-0.886720181254054,0.127405723687668,-6.95981432849775,3.40721490201165e-12,1.52296077412559e-10,80,145,100,103,106,133,126,89,141,116,82,70,200,123,134,246,225,210,183,192,248,193,211,233
"49","ENSGALG00010006619",1212.2938818624,-0.186269427944311,0.0540451882804195,-3.44654970906626,0.000567794096860703,0.0145889828141324,960,1121,1319,1401,1068,1162,1144,1148,1266,1253,1268,813,1016,977,1199,1629,1605,1398,928,1327,1500,1225,1376,1390
"50","ENSGALG00010006701",985.747664196647,-0.425095632184735,0.10209913051846,-4.16355780922029,3.13326648475288e-05,0.000954075617272437,542,931,1214,695,870,684,791,713,1178,893,844,670,715,1131,850,1259,1358,1262,876,1295,1366,1011,1418,1520
"51","ENSGALG00010006821",165.836475492919,-1.08919098786205,0.0734355137585387,-14.8319380108566,9.10653866232992e-50,1.51925282331405e-47,75,99,132,135,106,115,112,94,114,119,117,74,191,200,213,246,230,227,195,256,229,233,265,237
"52","ENSGALG00010006851",2027.52342772195,-1.12616611966707,0.080892593492855,-13.9217457500178,4.67347858769107e-44,6.66956070737358e-42,977,1493,1402,1674,1146,1308,1363,1360,1191,1293,1605,847,2479,2019,2373,3326,3031,2977,2343,2619,3046,3003,3436,2856
"53","ENSGALG00010006957",619.415479601925,-0.242646186823261,0.0673750678509678,-3.60142400687431,0.000316478935091976,0.00853916397759556,498,537,689,600,586,647,521,519,672,596,657,432,416,661,621,716,678,750,485,826,844,640,698,773
"54","ENSGALG00010007066",93.5313818978197,-0.871317099455261,0.112934581577578,-7.71523732840617,1.20757316153321e-14,6.21900178189601e-13,55,90,64,69,62,60,85,76,66,65,72,45,112,119,123,129,139,124,96,131,107,113,122,125
"55","ENSGALG00010007097",48.9356985546655,-0.894218755066772,0.127783255928466,-6.99793371650634,2.59764923222031e-12,1.17889483354979e-10,29,42,31,30,35,30,43,40,37,36,36,22,42,51,54,69,62,70,61,74,71,75,75,70
"56","ENSGALG00010007184",171.083550364454,0.763365023823103,0.231229209132839,3.30133475215304,0.000962259993331924,0.0239957255179298,221,456,248,130,299,181,193,233,171,161,166,169,183,99,84,125,96,124,128,85,99,154,126,129
"57","ENSGALG00010007217",723.919286553867,-0.875703487471674,0.0568617911330303,-15.4005610801625,1.62255348018575e-53,3.2031909954667e-51,393,555,533,537,521,522,555,508,596,538,584,346,770,848,751,1045,1160,882,760,1013,1053,1032,1001,1061
"58","ENSGALG00010007224",56.1261400041348,-1.06629749665502,0.148032456961579,-7.20313314080689,5.88444623881223e-13,2.75499073908027e-11,42,36,47,40,31,37,43,31,40,38,37,26,43,80,76,66,72,102,77,63,96,67,64,100
"59","ENSGALG00010007252",74.5280101177602,0.413676233337012,0.132738380696151,3.11647792573236,0.00183025382473448,0.0429294189187721,50,75,99,117,75,72,83,87,99,130,87,61,54,49,49,76,86,75,42,60,78,56,87,77
"60","ENSGALG00010007284",736.240241271439,-0.749361361610419,0.0604207311498922,-12.402388176194,2.53649422448435e-35,2.73134309900156e-33,430,583,584,632,532,489,514,521,857,505,614,429,722,826,766,1078,1074,879,700,1043,1140,906,1023,1093
"61","ENSGALG00010007300",95.2961977789418,-1.15548188704011,0.164092392671636,-7.04165420606873,1.89970811759679e-12,8.68804735634515e-11,89,48,99,58,71,55,48,59,58,50,65,43,105,115,177,160,167,113,94,134,153,107,94,131
"62","ENSGALG00010007344",307.297731936041,-0.956738257216686,0.0706856202975761,-13.5351186449091,9.70256733302011e-42,1.3059876143139e-39,192,211,234,203,227,219,195,196,218,198,268,143,300,344,326,541,463,385,385,468,447,407,448,439
"63","ENSGALG00010007437",606.930752712027,-0.969556569286452,0.0661744640926042,-14.6515212866652,1.31732820751978e-48,2.10861521865834e-46,398,354,497,485,346,372,353,355,507,389,473,372,650,784,662,900,821,813,740,990,867,714,984,864
"64","ENSGALG00010007788",609.756330113067,-0.386633580384067,0.0799909519464896,-4.8334664230863,1.3417591848406e-06,4.5408964412677e-05,402,619,592,462,556,526,473,453,747,621,589,357,525,630,611,725,687,742,581,752,823,636,780,939
"65","ENSGALG00010008031",382.974535179764,0.207274034166591,0.0659998520344961,3.14052270993359,0.00168646631547344,0.040193548303386,341,426,474,473,486,328,431,392,475,385,434,314,292,313,256,437,440,352,294,397,437,341,398,391
